ID	Assembly_ID	Diversity Set: 447	Selection Set: 369	Population group in Selection analyses	See KING_relatives_allchr if not 0	Sex	Y chr haplogroup	Population	location	Country_of_origin	Continent_region_of_origin	Subregion	Language group	comment	x (rounded for privacy reasons)	y (rounded for privacy reasons)	sample_type	CG_metrics	Unusual_metrics_Junctions	Unusual_metrics_MEIs	Unusual_metrics_SVs	Unusual_metrics_RepeatRegionSNPs	Unusual_metrics_CNVs	publication	dbSNP_version	CG-software version	CG-software format version	ID_chipdata	ID_chipdata_from_data	ID_chipdata_chip_duplicate or pedigree ID for estonians	CG_Sample_ID	Deliverable_ID	Assembly_ID	diversity and selection	approximate #  makers on chip	Illumina bead chip version
CongPy1	GS000035245-ASM	1	1	"Africa, W&C"	0	male	E1a1	Congo-pygmies		Congo	Africa	Sub-Saharan Africa			0.9	15.9	saliva	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS02529-DNA_A01	GS000036472-DID	GS000035245-ASM	TRUE		
CongPy3	GS000035246-ASM	1	1	"Africa, W&C"	0	male	B2	Congo-pygmies		Congo	Africa	Sub-Saharan Africa			0.9	15.9	saliva	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS02529-DNA_B01	GS000036473-DID	GS000035246-ASM	TRUE		
CongPy6	GS000035247-ASM	1	1	"Africa, W&C"	0	male	A2	Congo-pygmies		Congo	Africa	Sub-Saharan Africa			0.9	15.9	saliva	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS02529-DNA_C01	GS000036474-DID	GS000035247-ASM	TRUE		
Hadza1	GS00319-DNA_F01_1100_37-ASM	1	0		1	male	E1a1	Hadza	Arusha	Tanzania	Africa	Sub-Saharan Africa	Hadza_Isolate	Region in country from Wikipedia	-3.7	35.1	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_F01_1100_37-ASM	TRUE		
Hadza2	GS000003124-ASM	1	0		0	male	B4	Hadza	Arusha	Tanzania	Africa	Sub-Saharan Africa	Hadza_Isolate	Region in country from Wikipedia	-3.7	35.1	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS000003124-ASM	TRUE		
Hadza3	GS00319-DNA_G01_1100_37-ASM	1	0		1	male	B4	Hadza	Arusha	Tanzania	Africa	Sub-Saharan Africa	Hadza_Isolate	Region in country from Wikipedia	-3.7	35.1	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_G01_1100_37-ASM	TRUE		
Hadza4	GS000003125-ASM	1	0		0	male	B5	Hadza	Arusha	Tanzania	Africa	Sub-Saharan Africa	Hadza_Isolate	Region in country from Wikipedia	-3.7	35.1	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS000003125-ASM	TRUE		
Hadza5	GS000001807-ASM	1	0		0	male	B4	Hadza	Arusha	Tanzania	Africa	Sub-Saharan Africa	Hadza_Isolate	Region in country from Wikipedia	-3.7	35.1	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS000001807-ASM	TRUE		
LWK_1	NA19017-200-37-ASM	1	1	"Africa, W&C"	0	female		Luhya	Webuye	Kenya	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Benue-Congo/Southern-Bantoid/Bantu		0.6	34.8	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19017-200-37-ASM	TRUE		
LWK_2	NA19020-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a2	Luhya	Webuye	Kenya	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Benue-Congo/Southern-Bantoid/Bantu		0.6	34.8	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19020-200-37-ASM	TRUE		
LWK_3	NA19025-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a2	Luhya	Webuye	Kenya	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Benue-Congo/Southern-Bantoid/Bantu		0.6	34.8	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19025-200-37-ASM	TRUE		
LWK_4	NA19026-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a1	Luhya	Webuye	Kenya	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Benue-Congo/Southern-Bantoid/Bantu		0.6	34.8	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19026-200-37-ASM	TRUE		
MKK_2	NA21733-200-37-ASM	1	0		0	female		Maasai	Kinyawa	Kenya	Africa	Sub-Saharan Africa	Nilo-Saharan/Eastern-Sudanic/Eastern-Nilotic/Teso–Lotuko–Maa/Maa		-1.3	35.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA21733-200-37-ASM	TRUE		
MKK_4	NA21767-200-37-ASM	1	0		0	female		Maasai	Kinyawa	Kenya	Africa	Sub-Saharan Africa	Nilo-Saharan/Eastern-Sudanic/Eastern-Nilotic/Teso–Lotuko–Maa/Maa		-1.3	35.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA21767-200-37-ASM	TRUE		
MKK_1	NA21732-200-37-ASM	1	0		1	male	E2a2	Maasai	Kinyawa	Kenya	Africa	Sub-Saharan Africa	Nilo-Saharan/Eastern-Sudanic/Eastern-Nilotic/Teso–Lotuko–Maa/Maa	1st-degree reletive MKK_3	-1.3	35.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA21732-200-37-ASM	TRUE		
Sandw1	GS00319-DNA_C02_1100_37-ASM	1	0		0	male	E1a2	Sandawe	Dodoma	Tanzania	Africa	Sub-Saharan Africa	Khoe-Sandawe/Sandawe	Region in country from Wikipedia	-4.9	35.8	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_C02_1100_37-ASM	TRUE		
Sandw2	GS00319-DNA_D02_1100_37-ASM	1	0		0	male	E2b3	Sandawe	Dodoma	Tanzania	Africa	Sub-Saharan Africa	Khoe-Sandawe/Sandawe	Region in country from Wikipedia	-4.9	35.8	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_D02_1100_37-ASM	TRUE		
Sandw3	GS00319-DNA_E02_1100_37-ASM	1	0		0	male	E2b3	Sandawe	Dodoma	Tanzania	Africa	Sub-Saharan Africa	Khoe-Sandawe/Sandawe	Region in country from Wikipedia; 3rd degree relative with Sandawe4	-4.9	35.8	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_E02_1100_37-ASM	TRUE		
Sandw4	GS000001577-ASM	1	0		0	male	B5	Sandawe	Dodoma	Tanzania	Africa	Sub-Saharan Africa	Khoe-Sandawe/Sandawe	Region in country from Wikipedia;3rd degree relative with Sandawe3	-4.9	35.8	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS000001577-ASM	TRUE		
Sandw5	GS00319-DNA_G02_1100_37-ASM	1	0		0	male	B4	Sandawe	Dodoma	Tanzania	Africa	Sub-Saharan Africa	Khoe-Sandawe/Sandawe	Region in country from Wikipedia	-4.9	35.8	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_G02_1100_37-ASM	TRUE		
YRI_2	NA18502-200-37-ASM	1	1	"Africa, W&C"	0	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18502-200-37-ASM	TRUE		
YRI_4	NA18505-200-37-ASM	1	1	"Africa, W&C"	0	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18505-200-37-ASM	TRUE		
YRI_5	NA18508-200-37-ASM	1	1	"Africa, W&C"	0	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18508-200-37-ASM	TRUE		
YRI_6	NA18517-200-37-ASM	1	1	"Africa, W&C"	0	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18517-200-37-ASM	TRUE		
YRI_7	NA19129-200-37-ASM	1	1	"Africa, W&C"	0	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19129-200-37-ASM	TRUE		
YRI_11	NA19238-L2-200-37-ASM	1	1	"Africa, W&C"	1	female		Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19238-L2-200-37-ASM	TRUE		
YRI_1	NA18501-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a2	Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18501-200-37-ASM	TRUE		
YRI_3	NA18504-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a1	Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA18504-200-37-ASM	TRUE		
YRI_12	NA19239-L2-200-37-ASM	1	1	"Africa, W&C"	1	male	E4	Yoruba	Ibadan	Nigeria	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Volta-Niger/YEAI/Yoruboid		7.4	3.9	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19239-L2-200-37-ASM	TRUE		
Cachi1	GS000016938-ASM	1	0		0	female		Cachi	Salta_Cachi	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	2000m	-25.1	-66.2	saliva	normal						this study	135	2.2.0.26	2.2	AndCA1	AndCA1		GS01559-DNA_A02	GS000021410-DID	GS000016938-ASM	TRUE	730 000	HumanOmniExpress
Cachi2	GS000016939-ASM	1	0		0	female		Cachi	Salta_Cachi	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	2000m	-25.1	-66.2	saliva	normal						this study	135	2.2.0.26	2.2	AndCA21	AndCA21		GS01559-DNA_B02	GS000021411-DID	GS000016939-ASM	TRUE	730 000	HumanOmniExpress
Cachi3	GS000016940-ASM	1	0		0	male	Q1a	Cachi	Salta_Cachi	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	2000m	-25.1	-66.2	saliva	normal						this study	135	2.2.0.26	2.2	AndCA24	AndCA24		GS01559-DNA_C02	GS000021412-DID	GS000016940-ASM	TRUE	730 000	HumanOmniExpress
Cachi4	GS000017077-ASM	1	0		0	male	Q1a	Cachi	Salta_Cachi	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	2000m	-25.1	-66.2	saliva	normal						this study	135	2.2.0.26	2.2	AndCA27	AndCA27		GS01559-DNA_D02	GS000021413-DID	GS000017077-ASM	TRUE	730 000	HumanOmniExpress
Cachi5	GS000016942-ASM	1	0		0	male	Q1a	Cachi	Salta_Cachi	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	2000m	-25.1	-66.2	saliva	normal						this study	135	2.2.0.26	2.2	AndCA46	AndCA46		GS01559-DNA_E02	GS000021414-DID	GS000016942-ASM	TRUE	730 000	HumanOmniExpress
Colla1	GS000016948-ASM	1	0		0	female		Colla	Salta_San_Antonio_de_los_Cobres	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	>4000m	-24.2	-66.3	saliva	normal						this study	135	2.2.0.26	2.2	AndS12	AndS12		GS01559-DNA_C03	GS000021420-DID	GS000016948-ASM	TRUE	730 000	HumanOmniExpress
Colla2	GS000016949-ASM	1	0		0	female		Colla	Salta_San_Antonio_de_los_Cobres	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	>4000m; 3rd degree relative with AndS23	-24.2	-66.3	saliva	normal						this study	135	2.2.0.26	2.2	AndS25	AndS25		GS01559-DNA_D03	GS000021421-DID	GS000016949-ASM	TRUE	730 000	HumanOmniExpress
Colla3	GS000016950-ASM	1	0		0	female		Colla	Salta_San_Antonio_de_los_Cobres	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	>4000m	-24.2	-66.3	saliva	normal						this study	135	2.2.0.26	2.2	AndT11	AndT11		GS01559-DNA_E03	GS000021422-DID	GS000016950-ASM	TRUE	730 000	HumanOmniExpress
Colla4	GS000016951-ASM	1	0		0	male	Q1a	Colla	Salta_San_Antonio_de_los_Cobres	Argentina	Americas	South America	Quechuan/Southern/South-Bolivian	>4000m	-24.2	-66.3	saliva	normal						this study	135	2.2.0.26	2.2	AndT5	AndT5		GS01559-DNA_F03	GS000021423-DID	GS000016951-ASM	TRUE	730 000	HumanOmniExpress
MXL_2	NA19648-200-37-ASM	1	0		0	female		Mexicans	Los_Angeles	USA	Americas	Central America	NA	Approximate coordinates of population gravity centre / capital	34.1	-118.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19648-200-37-ASM	TRUE		
MXL_4	NA19669-200-37-ASM	1	0		0	female		Mexicans	Los_Angeles	USA	Americas	Central America	NA	Approximate coordinates of population gravity centre / capital	34.1	-118.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19669-200-37-ASM	TRUE		
MXL_1	NA19735-200-37-ASM	1	0		0	male	Q1a	Mexicans	Los_Angeles	USA	Americas	Central America	NA	Approximate coordinates of population gravity centre / capital	34.1	-118.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19735-200-37-ASM	TRUE		
MXL_3	NA19649-200-37-ASM	1	0		0	male	R1b1	Mexicans	Los_Angeles	USA	Americas	Central America	NA	Approximate coordinates of population gravity centre / capital	34.1	-118.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19649-200-37-ASM	TRUE		
MXL_5	NA19670-200-37-ASM	1	0		0	male	G2a2	Mexicans	Los_Angeles	USA	Americas	Central America	NA	Approximate coordinates of population gravity centre / capital	34.1	-118.3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19670-200-37-ASM	TRUE		
PUR_2	HG00732-200-37-ASM	1	0		1	female		Puerto-Ricans	Puerto_Rico	Puerto_Rico	Americas	Caribbean	NA	Approximate coordinates of population gravity centre / capital	18.2	-66.6	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					HG00732-200-37-ASM	TRUE		
PUR_1	HG00731-200-37-ASM	1	0		1	male	R1b3	Puerto-Ricans	Puerto_Rico	Puerto_Rico	Americas	Caribbean	NA	Approximate coordinates of population gravity centre / capital	18.2	-66.6	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					HG00731-200-37-ASM	TRUE		
Pur_4	GS000015711-ASM	1	0		0	male	R1b3	Puerto-Ricans	Puerto_Rico	Puerto_Rico	Americas	Caribbean	NA	Approximate coordinates of population gravity centre / capital	18.4	-66.1	NA	No info						Personal genomes project	132	2.0.4.14	2	NA					GS000015711-ASM	TRUE		
Wichi1	GS000016943-ASM	1	0		0	female		Wichi	Salta_Embarcación	Argentina	Americas	South America	Matacoan	200m	-23.2	-64.1	saliva	normal						this study	135	2.2.0.26	2.2	AndDE23	AndE13		GS01559-DNA_F02	GS000021415-DID	GS000016943-ASM	TRUE	730 000	HumanOmniExpress
Wichi2	GS000016944-ASM	1	0		0	female		Wichi	Salta_Embarcación	Argentina	Americas	South America	Matacoan	200m	-23.2	-64.1	saliva	normal						this study	135	2.2.0.26	2.2	AndDE24	AndDE24		GS01559-DNA_G02	GS000021416-DID	GS000016944-ASM	TRUE	730 000	HumanOmniExpress
Wichi3	GS000016945-ASM	1	0		0	male	Q1a	Wichi	Salta_Embarcación	Argentina	Americas	South America	Matacoan	200m	-23.2	-64.1	saliva	normal						this study	135	2.2.0.26	2.2	AndE12	AndE12		GS01559-DNA_H02	GS000021417-DID	GS000016945-ASM	TRUE	730 000	HumanOmniExpress
Wichi4	GS000016946-ASM	1	0		0	male	Q1a	Wichi	Salta_Embarcación	Argentina	Americas	South America	Matacoan	200m	-23.2	-64.1	saliva	normal						this study	135	2.2.0.26	2.2	AndE14	AndE14		GS01559-DNA_A03	GS000021418-DID	GS000016946-ASM	TRUE	730 000	HumanOmniExpress
Abkhaz1	GS000014408-ASM	1	0		0	female		Abkhazians	Abkhazia	Georgia	Caucasus	South_Caucasus	Northwest-Caucasian/Abaza-Abkhaz		43.2	40.8	blood	normal						this study	135	2.2.0.26	2.2	abkhazian1_1m	abkhazian1_1m		GS01567-DNA_B07	GS000018406-DID	GS000014408-ASM	TRUE	1 000 000	HumanOmni1-Quad
Abkhaz5	GS000014409-ASM	1	0		0	male	G2a1	Abkhazians	Abkhazia_Gudauta	Georgia	Caucasus	South_Caucasus	Northwest-Caucasian/Abaza-Abkhaz		43.1	40.6	blood	normal						this study	135	2.2.0.26	2.2	abkhazian5_1m	abkhazian5_1m		GS01567-DNA_C07	GS000018407-DID	GS000014409-ASM	TRUE	1 000 000	HumanOmni1-Quad
Abkhaz6	GS000014410-ASM	1	0		0	male	J2a11	Abkhazians	Abkhazia_Lykhny	Georgia	Caucasus	South_Caucasus	Northwest-Caucasian/Abaza-Abkhaz		43.1	40.6	blood	normal						this study	135	2.2.0.26	2.2	abkhazian6_1m	abkhazian6_1m		GS01567-DNA_D07	GS000018408-DID	GS000014410-ASM	TRUE	1 000 000	HumanOmni1-Quad
Armen3	GS000013745-ASM	1	1	West_Asia_Armenia	0	male	J1b1	Armenians	Yerevan	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian	Fathers father from Gyanja (Khachakap); Mothers mother from (Getashen) Çayk_nd. Both from west Azerbajian. Coordinates are averages of those	40.6	46.4	blood	normal						this study	135	2.2.0.26	2.2	armenia3	armenia3		GS01567-DNA_H08	GS000018420-DID	GS000013745-ASM	TRUE	660 000	Human660W-Quad v1.0
Armen7	GS000013746-ASM	1	1	West_Asia_Armenia	0	male	J2b1	Armenians	Yerevan	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian	Before 1828 parental ancetors were living in Alashkert (Ele_kirt) and maternal ancestors come from Erzurum; both now in Turkey. Coordinates are averages of those	39.9	42	blood	normal						this study	135	2.2.0.26	2.2	armenia7	armenia7		GS01567-DNA_A09	GS000018421-DID	GS000013746-ASM	TRUE	660 000	Human660W-Quad v1.0
Armen1	GS000035173-ASM	1	1	West_Asia_Armenia	0	male	R1b11	Armenians	Vardenis 	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian	All four grandparents are from Vardenis	40.2	45.7	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_C02	GS000035452-DID	GS000035173-ASM	TRUE		
Armen2	GS000035124-ASM	1	1	West_Asia_Armenia	0	male	J1b3	Armenians	Yerevan	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian		40.2	44.5	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_B11	GS000035523-DID	GS000035124-ASM	TRUE		
Armen5	GS000035125-ASM	1	1	West_Asia_Armenia	0	male	J1b5	Armenians	Vanatur_Hrazdan	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian	All four grandparents are from Vanatur	40.5	44.8	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_C11	GS000035524-DID	GS000035125-ASM	TRUE		
Armen4	GS000035126-ASM	1	1	West_Asia_Armenia	0	male	J1b6	Armenians	Erzrum	Armenia	Caucasus	South_Caucasus	Indo-European/Armenian	All four grandparents are from Erzurum (Turkey) the sampling was done in Yerevan	39.9	41.3	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_D11	GS000035525-DID	GS000035126-ASM	TRUE		
Avar12	GS000014407-ASM	1	0		0	female		Avars	Dagestan_Khunzakh	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Avar–Andic		42.5	46.7	blood	normal						this study	135	2.2.0.26	2.2	avar12_1m	avar12_1m		GS01567-DNA_A07	GS000018405-DID	GS000014407-ASM	TRUE	1 000 000	HumanOmni1-Quad
Avar1	GS000014405-ASM	1	0		0	male	J1a1	Avars	Dagestan_Shangoda	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Avar–Andic		42.2	47	blood	normal						this study	135	2.2.0.26	2.2	avar1_1m	avar1_1m		GS01567-DNA_G06	GS000018403-DID	GS000014405-ASM	TRUE	1 000 000	HumanOmni1-Quad
Avar9	GS000014406-ASM	1	0		0	male	R1b11	Avars	Dagestan_Gergebil	Russia	Caucasus	North_Caucasus	Northeast-Caucasian/Avar–Andic		42.5	47.1	blood	normal						this study	135	2.2.0.26	2.2	avar9_1m	avar9_1m		GS01567-DNA_H06	GS000018404-DID	GS000014406-ASM	TRUE	1 000 000	HumanOmni1-Quad
Azerb14	GS000013742-ASM	1	0		0	female		Azerbaijanis	Azerbaijan_Khachmaz	Azerbaijan	Caucasus	South_Caucasus	Altaic/Turkic/Oghuz/Western		41.5	48.8	blood	normal						this study	135	2.2.0.26	2.2	azerbaijani14_1m	azerbaijani14_1m		GS01567-DNA_E08	GS000018417-DID	GS000013742-ASM	TRUE	1 000 000	HumanOmni1-Quad
Azerb13	GS000013741-ASM	1	0		0	male	J1c	Azerbaijanis	Azerbaijan_Agdzhabedi	Azerbaijan	Caucasus	South_Caucasus	Altaic/Turkic/Oghuz/Western		40.1	47.5	blood	normal						this study	135	2.2.0.26	2.2	azerbaijani13_1m	azerbaijani13_1m		GS01567-DNA_D08	GS000018416-DID	GS000013741-ASM	TRUE	1 000 000	HumanOmni1-Quad
Azerb24	GS000035237-ASM	1	0		0	male	R1a2d	Azerbaijanis	Dagestan	Russia	Caucasus	South_Caucasus	Altaic/Turkic/Oghuz/Western		41.8	48.3	blood	normal						this study	137	2.4.0.43	2.4	NOT_DONE	NOT_DONE		GS01548-DNA_B08	GS000035499-DID	GS000035237-ASM	TRUE		
Balkar1	GS000016170-ASM	1	0		0	female		Balkars	Kabardino_Bakaria_Byllym	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		43.5	43	blood	normal						this study	135	2.2.0.26	2.2	balkar1_1m	balkar1_1m		GS01562-DNA_H03	GS000020382-DID	GS000016170-ASM	TRUE	1 000 000	HumanOmni1-Quad
Balkar4	GS000016172-ASM	1	0		0	female		Balkars	Kabardino_Bakaria_Nalchik	Russia	Caucasus	North_Caucasus	Altaic/Turkic/Kipchak/Kipchak–Cuman		43.5	43.6	blood	normal						this study	135	2.2.0.26	2.2	balkar4_1m	balkar4_1m		GS01562-DNA_B04	GS000020384-DID	GS000016172-ASM	TRUE	1 000 000	HumanOmni1-Quad
