sample	accession	center	platform	layout	library	description	fastq_r1	fastq_r2
CGG2014159	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014159_S14_L001	CGG	ILLUMINA	SINGLE	CGG2014159	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014159_S14_L001_R1_001.fastq.gz	
CGG2014160	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014160_S15_L001	CGG	ILLUMINA	SINGLE	CGG2014160	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014160_S15_L001_R1_001.fastq.gz	
CGG2014211	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014211_S16_L001	CGG	ILLUMINA	SINGLE	CGG2014211	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014211_S16_L001_R1_001.fastq.gz	
CGG2014216	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014216_S17_L001	CGG	ILLUMINA	SINGLE	CGG2014216	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014216_S17_L001_R1_001.fastq.gz	
CGG2014226	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014226_S18_L001	CGG	ILLUMINA	SINGLE	CGG2014226	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014226_S18_L001_R1_001.fastq.gz	
CGG2014233	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014233_S19_L001	CGG	ILLUMINA	SINGLE	CGG2014233	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014233_S19_L001_R1_001.fastq.gz	
CGG2014236	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014236_S20_L001	CGG	ILLUMINA	SINGLE	CGG2014236	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014236_S20_L001_R1_001.fastq.gz	
CGG2014304	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014304_S21_L001	CGG	ILLUMINA	SINGLE	CGG2014304	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014304_S21_L001_R1_001.fastq.gz	
CGG2014305	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014305_S22_L001	CGG	ILLUMINA	SINGLE	CGG2014305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014305_S22_L001_R1_001.fastq.gz	
CGG2014308	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014308_S23_L001	CGG	ILLUMINA	SINGLE	CGG2014308	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014308_S23_L001_R1_001.fastq.gz	
CGG2014313	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014313_S24_L001	CGG	ILLUMINA	SINGLE	CGG2014313	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014313_S24_L001_R1_001.fastq.gz	
CGG2014319	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014319_S25_L001	CGG	ILLUMINA	SINGLE	CGG2014319	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014319_S25_L001_R1_001.fastq.gz	
CGG2012300	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012300_E1_L1_S1_L001	CGG	ILLUMINA	PAIRED	CGG2012300	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012300_E1_L1_S1_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012300_E1_L1_S1_L001_R2_001.fastq.gz
CGG2012300	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012300_E1_L1_S1_L002	CGG	ILLUMINA	PAIRED	CGG2012300	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012300_E1_L1_S1_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012300_E1_L1_S1_L002_R2_001.fastq.gz
CGG2012301	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012301_E1_L1_S2_L001	CGG	ILLUMINA	PAIRED	CGG2012301	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012301_E1_L1_S2_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012301_E1_L1_S2_L001_R2_001.fastq.gz
CGG2012301	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012301_E1_L1_S2_L002	CGG	ILLUMINA	PAIRED	CGG2012301	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012301_E1_L1_S2_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012301_E1_L1_S2_L002_R2_001.fastq.gz
CGG2012305	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012305_E1_L1_S3_L001	CGG	ILLUMINA	PAIRED	CGG2012305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012305_E1_L1_S3_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012305_E1_L1_S3_L001_R2_001.fastq.gz
CGG2012305	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012305_E1_L1_S3_L002	CGG	ILLUMINA	PAIRED	CGG2012305	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012305_E1_L1_S3_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012305_E1_L1_S3_L002_R2_001.fastq.gz
CGG2012316	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012316_E1_L1_S4_L001	CGG	ILLUMINA	PAIRED	CGG2012316	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012316_E1_L1_S4_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012316_E1_L1_S4_L001_R2_001.fastq.gz
CGG2012316	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012316_E1_L1_S4_L002	CGG	ILLUMINA	PAIRED	CGG2012316	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012316_E1_L1_S4_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012316_E1_L1_S4_L002_R2_001.fastq.gz
CGG2012333	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012333_E1_L1_S5_L001	CGG	ILLUMINA	PAIRED	CGG2012333	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012333_E1_L1_S5_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012333_E1_L1_S5_L001_R2_001.fastq.gz
CGG2012333	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012333_E1_L1_S5_L002	CGG	ILLUMINA	PAIRED	CGG2012333	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012333_E1_L1_S5_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012333_E1_L1_S5_L002_R2_001.fastq.gz
CGG2012406	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012406_E1_L1_S6_L001	CGG	ILLUMINA	PAIRED	CGG2012406	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012406_E1_L1_S6_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012406_E1_L1_S6_L001_R2_001.fastq.gz
CGG2012406	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012406_E1_L1_S6_L002	CGG	ILLUMINA	PAIRED	CGG2012406	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012406_E1_L1_S6_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012406_E1_L1_S6_L002_R2_001.fastq.gz
CGG2012408	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012408_E1_L1_S7_L001	CGG	ILLUMINA	PAIRED	CGG2012408	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012408_E1_L1_S7_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012408_E1_L1_S7_L001_R2_001.fastq.gz
CGG2012408	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012408_E1_L1_S7_L002	CGG	ILLUMINA	PAIRED	CGG2012408	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012408_E1_L1_S7_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012408_E1_L1_S7_L002_R2_001.fastq.gz
CGG2012409	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012409_E1_L1_S8_L001	CGG	ILLUMINA	PAIRED	CGG2012409	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012409_E1_L1_S8_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012409_E1_L1_S8_L001_R2_001.fastq.gz
CGG2012409	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012409_E1_L1_S8_L002	CGG	ILLUMINA	PAIRED	CGG2012409	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012409_E1_L1_S8_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012409_E1_L1_S8_L002_R2_001.fastq.gz
CGG2012411	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012411_E1_L1_S9_L001	CGG	ILLUMINA	PAIRED	CGG2012411	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012411_E1_L1_S9_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012411_E1_L1_S9_L001_R2_001.fastq.gz
CGG2012411	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012411_E1_L1_S9_L002	CGG	ILLUMINA	PAIRED	CGG2012411	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012411_E1_L1_S9_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012411_E1_L1_S9_L002_R2_001.fastq.gz
CGG2012412	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012412_E1_L1_S10_L001	CGG	ILLUMINA	PAIRED	CGG2012412	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012412_E1_L1_S10_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012412_E1_L1_S10_L001_R2_001.fastq.gz
CGG2012412	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012412_E1_L1_S10_L002	CGG	ILLUMINA	PAIRED	CGG2012412	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012412_E1_L1_S10_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012412_E1_L1_S10_L002_R2_001.fastq.gz
CGG2012514	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012514_E1_L1_S11_L001	CGG	ILLUMINA	PAIRED	CGG2012514	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012514_E1_L1_S11_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012514_E1_L1_S11_L001_R2_001.fastq.gz
CGG2012514	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012514_E1_L1_S11_L002	CGG	ILLUMINA	PAIRED	CGG2012514	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012514_E1_L1_S11_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012514_E1_L1_S11_L002_R2_001.fastq.gz
CGG2012520	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012520_E1_L1_S12_L001	CGG	ILLUMINA	PAIRED	CGG2012520	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012520_E1_L1_S12_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012520_E1_L1_S12_L001_R2_001.fastq.gz
CGG2012520	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012520_E1_L1_S12_L002	CGG	ILLUMINA	PAIRED	CGG2012520	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012520_E1_L1_S12_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012520_E1_L1_S12_L002_R2_001.fastq.gz
CGG2012529	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012529_E1_L1_S13_L001	CGG	ILLUMINA	PAIRED	CGG2012529	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012529_E1_L1_S13_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012529_E1_L1_S13_L001_R2_001.fastq.gz
CGG2012529	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012529_E1_L1_S13_L002	CGG	ILLUMINA	PAIRED	CGG2012529	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012529_E1_L1_S13_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012529_E1_L1_S13_L002_R2_001.fastq.gz
CGG2012538	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012538_E1_L1_S14_L001	CGG	ILLUMINA	PAIRED	CGG2012538	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012538_E1_L1_S14_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012538_E1_L1_S14_L001_R2_001.fastq.gz
CGG2012538	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012538_E1_L1_S14_L002	CGG	ILLUMINA	PAIRED	CGG2012538	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012538_E1_L1_S14_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012538_E1_L1_S14_L002_R2_001.fastq.gz
CGG2012549	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012549_E1_L1_S15_L001	CGG	ILLUMINA	PAIRED	CGG2012549	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012549_E1_L1_S15_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012549_E1_L1_S15_L001_R2_001.fastq.gz
CGG2012549	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012549_E1_L1_S15_L002	CGG	ILLUMINA	PAIRED	CGG2012549	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012549_E1_L1_S15_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012549_E1_L1_S15_L002_R2_001.fastq.gz
CGG2012556	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012556_E1_L1_S16_L001	CGG	ILLUMINA	PAIRED	CGG2012556	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012556_E1_L1_S16_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012556_E1_L1_S16_L001_R2_001.fastq.gz
CGG2012556	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012556_E1_L1_S16_L002	CGG	ILLUMINA	PAIRED	CGG2012556	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012556_E1_L1_S16_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012556_E1_L1_S16_L002_R2_001.fastq.gz
CGG2012558	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012558_E1_L1_S18_L001	CGG	ILLUMINA	PAIRED	CGG2012558	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012558_E1_L1_S18_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012558_E1_L1_S18_L001_R2_001.fastq.gz
CGG2012558	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012558_E1_L1_S18_L002	CGG	ILLUMINA	PAIRED	CGG2012558	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012558_E1_L1_S18_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012558_E1_L1_S18_L002_R2_001.fastq.gz
CGG2012559	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012559_E1_L1_S19_L001	CGG	ILLUMINA	PAIRED	CGG2012559	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012559_E1_L1_S19_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012559_E1_L1_S19_L001_R2_001.fastq.gz
CGG2012559	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012559_E1_L1_S19_L002	CGG	ILLUMINA	PAIRED	CGG2012559	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012559_E1_L1_S19_L002_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012559_E1_L1_S19_L002_R2_001.fastq.gz
CGG2012561	190123_A00706_0007_AHHFTVDMXX_ESW_HR3H_CGG2012561_E1_L1_S20_L001	CGG	ILLUMINA	PAIRED	CGG2012561	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012561_E1_L1_S20_L001_R1_001.fastq.gz	data/source/cgg-afr/fastq/190123_A00706_0007_AHHFTVDMXX-ModernAfricans/ESW_HR3H_CGG2012561_E1_L1_S20_L001_R2_001.fastq.gz
