sample	file
HGDP00043	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00043/alignment/HGDP00043.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00045	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00045/alignment/HGDP00045.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00047	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00047/alignment/HGDP00047.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00049	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00049/alignment/HGDP00049.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00052	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00052/alignment/HGDP00052.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00054	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00054/alignment/HGDP00054.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00056	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00056/alignment/HGDP00056.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00057	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00057/alignment/HGDP00057.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00060	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00060/alignment/HGDP00060.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00062	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00062/alignment/HGDP00062.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00064	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00064/alignment/HGDP00064.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00066	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00066/alignment/HGDP00066.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00068	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00068/alignment/HGDP00068.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00070	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00070/alignment/HGDP00070.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00072	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00072/alignment/HGDP00072.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00074	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00074/alignment/HGDP00074.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00076	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00076/alignment/HGDP00076.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00078	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00078/alignment/HGDP00078.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00080	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00080/alignment/HGDP00080.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00082	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00082/alignment/HGDP00082.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00086	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00086/alignment/HGDP00086.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00088	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00088/alignment/HGDP00088.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00092	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00092/alignment/HGDP00092.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00094	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00094/alignment/HGDP00094.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00096	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00096/alignment/HGDP00096.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00098	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Balochi/HGDP00098/alignment/HGDP00098.alt_bwamem_GRCh38DH.20181023.Balochi.cram
HGDP00099	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00099/alignment/HGDP00099.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00100	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00100/alignment/HGDP00100.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00102	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00102/alignment/HGDP00102.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00103	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00103/alignment/HGDP00103.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00104	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00104/alignment/HGDP00104.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00105	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00105/alignment/HGDP00105.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00106	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00106/alignment/HGDP00106.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00108	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00108/alignment/HGDP00108.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00109	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00109/alignment/HGDP00109.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00110	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00110/alignment/HGDP00110.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00115	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00115/alignment/HGDP00115.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00118	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00118/alignment/HGDP00118.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00120	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00120/alignment/HGDP00120.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00121	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00121/alignment/HGDP00121.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00122	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00122/alignment/HGDP00122.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00127	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00127/alignment/HGDP00127.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00129	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Hazara/HGDP00129/alignment/HGDP00129.alt_bwamem_GRCh38DH.20181023.Hazara.cram
HGDP00130	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00130/alignment/HGDP00130.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00131	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00131/alignment/HGDP00131.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00133	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00133/alignment/HGDP00133.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00134	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00134/alignment/HGDP00134.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00135	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00135/alignment/HGDP00135.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00136	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00136/alignment/HGDP00136.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00137	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00137/alignment/HGDP00137.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00139	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00139/alignment/HGDP00139.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00140	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00140/alignment/HGDP00140.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00141	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00141/alignment/HGDP00141.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00143	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00143/alignment/HGDP00143.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00144	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00144/alignment/HGDP00144.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00145	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00145/alignment/HGDP00145.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00146	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00146/alignment/HGDP00146.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00148	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00148/alignment/HGDP00148.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00149	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00149/alignment/HGDP00149.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00150	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00150/alignment/HGDP00150.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00151	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00151/alignment/HGDP00151.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00153	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00153/alignment/HGDP00153.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00154	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00154/alignment/HGDP00154.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00155	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00155/alignment/HGDP00155.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00158	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00158/alignment/HGDP00158.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00161	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Makrani/HGDP00161/alignment/HGDP00161.alt_bwamem_GRCh38DH.20181023.Makrani.cram
HGDP00163	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00163/alignment/HGDP00163.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00165	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00165/alignment/HGDP00165.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00167	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00167/alignment/HGDP00167.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00169	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00169/alignment/HGDP00169.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00171	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00171/alignment/HGDP00171.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00173	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00173/alignment/HGDP00173.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00175	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00175/alignment/HGDP00175.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00177	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00177/alignment/HGDP00177.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00179	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00179/alignment/HGDP00179.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00181	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00181/alignment/HGDP00181.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00183	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00183/alignment/HGDP00183.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00185	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00185/alignment/HGDP00185.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00187	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00187/alignment/HGDP00187.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00189	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00189/alignment/HGDP00189.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00191	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00191/alignment/HGDP00191.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00192	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00192/alignment/HGDP00192.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00197	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00197/alignment/HGDP00197.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00199	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00199/alignment/HGDP00199.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00201	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00201/alignment/HGDP00201.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00205	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00205/alignment/HGDP00205.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00206	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00206/alignment/HGDP00206.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00210	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Sindhi/HGDP00210/alignment/HGDP00210.alt_bwamem_GRCh38DH.20181023.Sindhi.cram
HGDP00213	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00213/alignment/HGDP00213.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00214	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00214/alignment/HGDP00214.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00218	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00218/alignment/HGDP00218.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00222	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00222/alignment/HGDP00222.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00224	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00224/alignment/HGDP00224.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00226	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00226/alignment/HGDP00226.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00228	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00228/alignment/HGDP00228.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00230	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00230/alignment/HGDP00230.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00234	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00234/alignment/HGDP00234.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00237	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00237/alignment/HGDP00237.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00239	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00239/alignment/HGDP00239.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00241	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00241/alignment/HGDP00241.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00243	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00243/alignment/HGDP00243.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00244	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00244/alignment/HGDP00244.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00247	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00247/alignment/HGDP00247.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00248	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00248/alignment/HGDP00248.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00251	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00251/alignment/HGDP00251.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00254	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00254/alignment/HGDP00254.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00258	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00258/alignment/HGDP00258.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00259	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00259/alignment/HGDP00259.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00262	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00262/alignment/HGDP00262.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00264	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Pathan/HGDP00264/alignment/HGDP00264.alt_bwamem_GRCh38DH.20181023.Pathan.cram
HGDP00274	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00274/alignment/HGDP00274.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00277	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00277/alignment/HGDP00277.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00279	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00279/alignment/HGDP00279.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00281	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00281/alignment/HGDP00281.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00285	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00285/alignment/HGDP00285.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00288	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00288/alignment/HGDP00288.alt_bwamem_GRCh38DH.20181023.Kalash.cram
HGDP00290	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Kalash/HGDP00290/alignment/HGDP00290.alt_bwamem_GRCh38DH.20181023.Kalash.cram
