sample	library	sample_accession	source	library_type	population	latitude	longitude	region	sex	coverage	freemix	capmq	insert_size_average	array_non_reference_discordance	library_alias_ENA
HGDP00104	HGDP00104.15362696	ERS474393	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	28.43	0.00916	20	458.1	0.069887	NA
HGDP00105	HGDP00105.11575272	ERS474394	sanger	PCR	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	35.3	0.00089	31	472.1	0.044104	11318128
HGDP00106	HGDP00106.15362708	ERS474395	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	28.03	0.01221	20	441.8	0.093832	NA
HGDP00108	HGDP00108.15362720	ERS474396	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	32.01	0.01152	20	450.9	0.067465	NA
HGDP00109	HGDP00109.15362732	ERS474397	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	31.24	0.01121	20	452.5	0.068489	NA
HGDP00110	HGDP00110.15362744	ERS474398	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	33.07	0.00889	21	431.9	0.060059	NA
HGDP00115	HGDP00115.15362756	ERS474400	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	36.22	0.01351	20	452.5	0.063963	NA
HGDP00118	HGDP00118.11575284	ERS474402	sanger	PCR	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	35.52	0.00037	34	462.4	0.045517	11318129
HGDP00120	HGDP00120.15362685	ERS474404	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	31.55	0.01237	20	447.3	0.062242	NA
HGDP00121	HGDP00121.15947702	ERS1063305	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	36.52	0.00725	21	446.6	NA	NA
HGDP00122	HGDP00122.15947714	ERS1063301	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	34.39	0.01093	20	483	NA	NA
HGDP00124	HGDP00124.LP6005441-DNA_F05	ERS1042251	sgdp	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	64.01	0.00125	29	309.3	0.03069	NA
HGDP00125	HGDP00125.LP6005441-DNA_E05	ERS1042252	sgdp	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	65.89	0.00035	34	306.2	0.027732	NA
HGDP00127	HGDP00127.11575296	ERS474409	sanger	PCR	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	35.53	0.0009	30	475	0.038943	11318130
HGDP00129	HGDP00129.15947726	ERS1063300	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	36.23	0.01042	20	431.6	NA	NA
HGDP00130	HGDP00130.11575334	ERS474556	sanger	PCR	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	33.91	0.0009	30	378.7	0.066219	11318150
HGDP00131	HGDP00131.15665890	ERS474557	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	38.55	0.00752	21	432.1	0.046641	NA
HGDP00133	HGDP00133.15665902	ERS474558	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	37.22	0.01229	20	448.3	0.074733	NA
HGDP00134	HGDP00134.15665915	ERS474559	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.49	0.01139	20	435.5	0.062588	NA
HGDP00135	HGDP00135.11575346	ERS474560	sanger	PCR	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	30.56	0.00289	25	469.1	0.061497	11318151
HGDP00136	HGDP00136.11575263	ERS474561	sanger	PCR	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	31.94	0.003	25	454.9	0.057367	11318152
HGDP00137	HGDP00137.15665927	ERS474562	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.72	0.01403	20	421.1	0.073688	NA
HGDP00139	HGDP00139.15665942	ERS474563	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.22	0.01561	20	404.5	0.098019	NA
HGDP00140	HGDP00140.15665965	ERS474564	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	33.61	0.02209	20	431.8	0.152583	NA
HGDP00141	HGDP00141.15665867	ERS474565	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	35.87	0.01051	20	434.4	0.059564	NA
HGDP00143	HGDP00143.15665879	ERS474566	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	33.61	0.01132	20	438.3	0.0706	NA
HGDP00144	HGDP00144.15665891	ERS474567	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	36.23	0.00992	20	449.6	0.054865	NA
HGDP00145	HGDP00145.15665903	ERS474568	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.83	0.01252	20	470.2	0.076617	NA
HGDP00146	HGDP00146.15665916	ERS474569	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.95	0.02107	20	444.7	0.127142	NA
HGDP00148	HGDP00148.15665928	ERS474570	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	34.21	0.01238	20	425.7	0.070439	NA
HGDP00149	HGDP00149.15665943	ERS474571	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	33.57	0.01536	20	433.6	0.091911	NA
HGDP00150	HGDP00150.15665967	ERS474572	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	33.21	0.02178	20	447.2	0.178112	NA
HGDP00151	HGDP00151.15665868	ERS474573	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	F	34.75	0.00763	21	440	0.053382	NA
HGDP00153	HGDP00153.15665880	ERS474574	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	F	56.61	0.01133	20	534.5	0.044759	NA
HGDP00154	HGDP00154.15665892	ERS474575	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	F	34.73	0.00875	21	439.6	0.043574	NA
HGDP00155	HGDP00155.15665904	ERS474576	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	F	35.76	0.01076	20	431.3	0.046174	NA
HGDP00157	HGDP00157.LP6005441-DNA_D07	ERS1042161	sgdp	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	F	40.23	0.00020	36	307.2	0.032388	NA
HGDP00158	HGDP00158.15665917	ERS474578	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	39.32	0.01022	20	427.8	0.052021	NA
HGDP00160	HGDP00160.LP6005441-DNA_C07	ERS1042160	sgdp	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	42.24	0.00026	35	303.8	0.039477	NA
HGDP00161	HGDP00161.15665929	ERS474580	sanger	PCRfree	Makrani	26	64	CENTRAL_SOUTH_ASIA	M	37.54	0.01788	20	412.1	0.097545	NA
HGDP00163	HGDP00163.11575285	ERS474460	sanger	PCR	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	35.78	0.00093	30	486.6	0.057068	11318137
HGDP00165	HGDP00165.11575297	ERS474461	sanger	PCR	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	34.65	0.00122	29	494.6	0.053437	11318138
HGDP00167	HGDP00167.11575309	ERS474462	sanger	PCR	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	34	0.00081	31	488	0.043908	11318139
HGDP00169	HGDP00169.15458968	ERS474463	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	30.18	0.0141	20	415.2	0.11109	NA
HGDP00171	HGDP00171.15458885	ERS474464	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	35.54	0.0098	20	433.4	0.055155	NA
HGDP00173	HGDP00173.15458897	ERS474465	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	31.43	0.01229	20	431.1	0.09166	NA
HGDP00175	HGDP00175.15458909	ERS474466	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	31.59	0.01642	20	424.3	0.133897	NA
HGDP00177	HGDP00177.15458921	ERS474467	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	30.25	0.00767	21	420.8	0.063373	NA
HGDP00179	HGDP00179.15458933	ERS474468	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	38.12	0.00873	21	435.5	0.054274	NA
HGDP00181	HGDP00181.15458945	ERS474469	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	35.16	0.00993	20	425.1	0.055485	NA
HGDP00183	HGDP00183.15458957	ERS474470	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	37.32	0.01076	20	450.3	0.053793	NA
HGDP00185	HGDP00185.15458969	ERS474471	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	30.71	0.01556	20	418.6	0.095842	NA
HGDP00187	HGDP00187.15458886	ERS474472	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	40.17	0.01128	20	428.1	0.044756	NA
HGDP00189	HGDP00189.15458898	ERS474473	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	29.4	0.01819	20	448.4	0.160078	NA
HGDP00191	HGDP00191.15458910	ERS474474	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	32.75	0.01366	20	418.7	0.081391	NA
HGDP00192	HGDP00192.15458922	ERS474475	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	F	34.08	0.01063	20	437.2	0.050574	NA
HGDP00195	HGDP00195.LP6005441-DNA_H11	ERS1042275	sgdp	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	F	38.5	0.00307	25	339	0.037716	NA
HGDP00197	HGDP00197.15458934	ERS474477	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	33.28	0.0128	20	492.1	0.077916	NA
HGDP00199	HGDP00199.15458946	ERS474478	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	32.45	0.00977	20	427.8	0.062797	NA
HGDP00201	HGDP00201.15458958	ERS474479	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	35.9	0.01485	20	441.3	0.065768	NA
HGDP00205	HGDP00205.15458970	ERS474480	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	32.07	0.01542	20	419.8	0.094104	NA
HGDP00206	HGDP00206.15458887	ERS474481	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	F	34.5	0.008	21	428	0.045102	NA
HGDP00208	HGDP00208.LP6005441-DNA_G11	ERS1042274	sgdp	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	M	39.93	0.00018	37	322	0.036644	NA
HGDP00210	HGDP00210.15458899	ERS474483	sanger	PCRfree	Sindhi	25.5	69	CENTRAL_SOUTH_ASIA	F	45.19	0.01038	20	418.2	0.034486	NA
HGDP00213	HGDP00213.11575344	ERS474436	sanger	PCR	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	36.14	0.00042	34	457.9	0.045491	11318134
HGDP00214	HGDP00214.11575261	ERS474437	sanger	PCR	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	35.74	0.00125	29	371.9	0.051495	11318135
HGDP00216	HGDP00216.LP6005441-DNA_C10	ERS1042165	sgdp	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	40.49	0.00193	27	360.3	0.034213	NA
HGDP00218	HGDP00218.11575273	ERS474439	sanger	PCR	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	35.78	0.00085	31	510.8	0.049668	11318136
HGDP00222	HGDP00222.15458930	ERS474440	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	34.98	0.00823	21	435.9	0.050242	NA
HGDP00224	HGDP00224.15458942	ERS474441	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	34.89	0.00927	20	431.2	0.052221	NA
HGDP00226	HGDP00226.15458954	ERS474442	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	35.65	0.01742	20	437.8	0.081993	NA
HGDP00228	HGDP00228.15458966	ERS474443	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	32.99	0.01828	20	419	0.10018	NA
HGDP00230	HGDP00230.15458883	ERS474444	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	34.91	0.00921	20	415.6	0.052743	NA
HGDP00232	HGDP00232.LP6005441-DNA_D10	ERS1042166	sgdp	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	F	41.28	0.00026	35	323.4	0.043513	NA
HGDP00234	HGDP00234.15458895	ERS474446	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	31.53	0.00997	20	431.3	0.070646	NA
HGDP00237	HGDP00237.15458907	ERS474447	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	F	35.48	0.01109	20	401.4	0.04882	NA
HGDP00239	HGDP00239.15458919	ERS474448	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	F	32.09	0.01258	20	421.9	0.064404	NA
HGDP00241	HGDP00241.15458931	ERS474449	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	34.86	0.01223	20	445.4	0.06454	NA
HGDP00243	HGDP00243.15458943	ERS474450	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	34.14	0.00895	20	418.4	0.060142	NA
HGDP00244	HGDP00244.15458955	ERS474451	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	F	36.29	0.01297	20	441.7	0.058483	NA
HGDP00247	HGDP00247.15458967	ERS474452	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	F	30.67	0.02202	20	413.1	NA	NA
HGDP00248	HGDP00248.15458884	ERS474453	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	32.76	0.00893	20	431.7	NA	NA
HGDP00251	HGDP00251.15458896	ERS474454	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	63.97	0.01153	20	424.1	0.03547	NA
HGDP00254	HGDP00254.15458908	ERS474455	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	33.57	0.01229	20	433.4	0.077479	NA
HGDP00258	HGDP00258.15458920	ERS474456	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	29.61	0.01105	20	433.3	0.074812	NA
HGDP00259	HGDP00259.15458932	ERS474457	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	36.34	0.01058	20	430.5	0.059426	NA
HGDP00262	HGDP00262.15458944	ERS474458	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	37.46	0.0107	20	421.8	0.058019	NA
HGDP00264	HGDP00264.15458956	ERS474459	sanger	PCRfree	Pathan	33.5	70.5	CENTRAL_SOUTH_ASIA	M	37.41	0.01245	20	424.8	0.059374	NA
HGDP00274	HGDP00274.15458911	ERS474485	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	F	33.74	0.01025	20	416.3	0.047496	NA
HGDP00277	HGDP00277.15458923	ERS474486	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	30.63	0.01279	20	419.2	0.082384	NA
HGDP00279	HGDP00279.11575321	ERS474487	sanger	PCR	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	32.38	0.00084	31	479.7	0.044015	11318140
HGDP00281	HGDP00281.15458935	ERS474488	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	31.29	0.02506	20	574.6	0.203392	NA
HGDP00285	HGDP00285.15458947	ERS474489	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	35.36	0.00935	20	423.5	0.057051	NA
HGDP00286	HGDP00286.LP6005441-DNA_F06	ERS1042260	sgdp	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	F	33.34	0.00033	34	289.4	0.035059	NA
HGDP00288	HGDP00288.11575333	ERS474491	sanger	PCR	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	31.32	0.00138	29	361.3	0.052676	11318141
HGDP00290	HGDP00290.15458959	ERS474492	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	40.24	0.01098	20	431	0.052886	NA
HGDP00298	HGDP00298.15458971	ERS474493	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	F	37.43	0.01366	20	400.1	0.045182	NA
HGDP00302	HGDP00302.15458888	ERS474494	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	34.92	0.00873	21	423.6	0.050992	NA
HGDP00304	HGDP00304.15458900	ERS474495	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	F	29.98	0.00962	20	418.6	0.062393	NA
HGDP00307	HGDP00307.15458912	ERS474496	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	32.98	0.01092	20	417.8	0.064493	NA
HGDP00309	HGDP00309.15458924	ERS474497	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	31.21	0.01353	20	421.9	0.080837	NA
HGDP00311	HGDP00311.15458936	ERS474498	sanger	PCRfree	Kalash	36	71.5	CENTRAL_SOUTH_ASIA	M	37.41	0.00927	20	431.9	0.058692	NA
